x,y,heading_angle_degrees,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11
4.0,4.0,90.0,3.527,3.48,3.438,3.529,2.06,1.126,3.525,2.388,2.326,1.98,1.803,3.463
4.025782206683846,4.004546098660564,9.99999999999906,3.435,3.541,3.48,3.484,3.469,3.476,3.57,1.646,1.627,3.555,2.64,2.029
4.049202190568225,4.017908132827528,29.706480902924152,1.685,3.608,3.478,3.576,3.503,3.366,2.086,1.242,3.498,,2.321,3.417
4.068017476158783,4.039269908169873,48.62665176863212,3.431,3.51,3.524,3.568,3.532,3.44,1.396,3.53,2.824,2.572,1.954,1.701
4.080219986494195,4.067312561080326,66.48416291409978,3.525,3.443,3.521,3.528,3.554,1.739,1.379,3.514,2.557,2.239,3.523,1.791
4.084140701350408,4.100274983117744,83.21682371214463,3.491,3.439,3.528,3.496,3.496,1.379,3.511,2.236,2.434,1.887,1.614,3.564
4.078539816339745,4.136034952317567,98.9016002743704,3.589,3.415,3.502,3.514,1.734,1.647,3.506,2.754,2.014,3.521,3.542,3.506
4.062678464896346,4.172207666988791,113.67694088280314,3.474,3.478,3.511,3.502,1.5,3.476,2.311,2.423,1.925,1.647,3.5,3.533
4.036368789284512,4.206257653470762,127.69247294467048,3.449,3.507,3.465,1.912,1.37,3.473,2.85,2.094,3.436,3.507,3.501,3.475
4.0,4.235619449019234,141.08484911124526,3.492,3.549,3.534,1.617,3.441,2.924,2.623,2.05,1.583,3.547,3.475,3.49
3.95453901339436,4.257822066838452,153.96965412428224,3.416,3.438,2.273,1.45,3.534,2.755,2.273,3.48,3.514,3.541,3.5,3.561
3.9015052694485983,4.270612048125242,166.44106872756527,3.489,,1.704,1.712,3.505,2.892,2.223,1.771,3.428,3.577,3.363,3.608
3.8429203673205103,4.272069904635132,178.57451686268132,,3.486,1.481,3.497,2.606,2.528,3.493,1.999,3.528,3.452,3.537,3.526
3.781234176488941,4.260714956106136,190.4300214875749,3.473,1.984,1.33,3.489,2.957,2.233,1.91,3.536,3.499,3.436,,3.548
3.719230047270316,4.235593963781141,202.05534577332676,,1.552,,3.35,3.002,2.25,1.968,3.462,3.507,3.455,3.438,3.526
3.659912619206085,4.196349540849362,213.48862972930965,3.52,1.394,,2.632,2.726,3.513,3.528,3.432,3.469,3.526,3.496,3.509
3.6063824754541938,4.1432650626202205,224.76049622156563,1.583,1.191,3.506,2.959,2.513,1.999,3.509,3.588,3.534,3.534,3.455,3.588
3.561702486374632,4.077283677229589,235.8956936853898,1.37,1.038,3.27,3.007,2.534,2.092,3.45,3.493,3.391,3.501,3.559,3.428
3.528761101961531,4.000000000000001,246.9143639924767,1.093,3.471,2.583,2.658,3.576,3.47,3.539,3.513,3.493,3.46,3.516,1.643
3.510138073006942,3.913624125449284,257.83301784189047,0.9,3.574,2.878,2.579,2.264,3.491,3.488,3.517,3.532,3.498,3.46,1.271
3.5079780943177417,3.8209186717247263,268.6652859064816,0.823,3.038,2.811,2.508,2.238,3.522,3.461,3.507,3.481,3.588,1.759,1.028
3.5238776668885174,3.725110642810894,279.4224993387987,3.501,2.366,2.649,3.573,3.496,3.43,,3.4,3.583,3.524,1.169,0.849
3.558790074281924,3.629780914058209,290.1141406624591,3.417,2.524,2.466,2.578,3.465,3.44,3.439,,3.557,3.463,0.793,0.671
3.6129527737881255,3.5387350776583766,300.7481960546637,2.678,2.651,2.308,2.297,3.525,3.49,3.522,3.419,3.423,1.166,0.679,3.538
3.68584073464102,3.4558601907297355,311.33143233364376,1.957,2.431,2.36,2.486,3.52,,3.526,3.492,3.54,0.705,0.583,3.463
3.7761483396559057,3.384972617897178,321.86961616999224,2.237,2.192,3.498,3.504,3.38,3.488,3.441,,1.058,0.521,,3.479
3.881801434825334,3.3296626262200255,332.3676887137844,2.418,2.15,2.256,3.577,3.464,3.574,3.489,3.458,0.598,0.768,3.372,2.009
3.999999999999998,3.293141652942297,342.82990560863027,2.163,2.004,2.181,3.501,3.514,3.47,3.518,1.327,0.609,3.399,,1.736
4.12729076249579,3.2780982128523344,353.2599499657576,,3.462,2.394,3.5,3.461,3.475,3.475,0.69,0.995,3.26,2.248,2.146
4.259667925999146,3.286568236760725,3.66102408129474,1.736,2.206,3.498,3.49,3.526,3.522,3.421,0.906,3.425,3.325,1.584,1.911
4.392699081698722,3.3198252384121676,14.035924338728464,1.651,1.727,3.549,,3.535,3.558,1.393,1.181,3.497,3.496,,1.597
4.5216723483725225,3.3782951046699834,24.387102728783727,3.491,1.733,3.543,3.38,3.591,3.494,1.168,3.497,3.419,1.397,1.799,1.528
4.641759891953562,3.461499511357391,34.71671765477949,1.916,3.418,3.503,3.459,3.455,3.424,1.42,3.556,3.579,1.704,1.541,1.405
4.748192237746613,3.568031010131401,45.026676109910234,1.386,3.454,3.446,3.474,3.51,2.259,1.821,3.419,1.584,1.834,1.259,1.293
4.765276871113048,3.917613783309277,87.20209560682615,3.415,3.558,3.404,3.418,2.06,,3.596,2.142,1.467,,1.337,1.38
4.736235319679648,4.266406828380909,94.75963902331183,3.481,3.476,3.422,3.512,2.217,,3.157,2.167,1.352,3.306,1.015,3.484
4.644414723761071,4.604147821103376,105.20922562214534,3.478,,3.457,3.547,2.262,3.518,2.717,,2.351,0.855,3.45,3.556
4.4706988834315275,4.907994504183183,119.7575545141828,3.464,3.479,3.443,3.439,2.17,3.584,3.114,1.776,1.093,3.492,3.568,
4.202243256556109,5.132564262607878,140.08668612015416,3.611,3.551,3.505,2.815,3.501,3.244,2.311,1.279,3.466,3.59,2.967,3.075
